GEO_ID,Bachelor,Poverty,OldHousing,Black,SimpsonsDI,VacantHousing,OwnerOccupied,FamiliesWithChildren,Pct5Plus
42101013800,12.5,26.3,70.7,77.2,0.381451,25.6,35.7,24.4,10.8
42101013900,8.6,58.5,36.0,84.1,0.31442499999999995,21.1,11.9,27.2,5.3
42101014000,22.9,45.3,46.8,67.2,0.4898890000000001,29.6,21.0,15.1,5.0
42101014200,71.0,8.5,52.099999999999994,9.3,0.528752,7.4,36.7,10.1,3.8
42101014400,29.9,30.6,64.7,13.3,0.749876,21.2,46.4,12.1,6.4
42101014700,20.7,59.9,45.3,48.5,0.6118290000000001,26.1,25.4,20.9,5.8
42101014800,5.8,43.3,41.5,88.7,0.20489899999999997,15.6,27.3,18.7,9.4
42101014900,5.6,37.8,89.7,83.5,0.29268000000000005,26.7,35.4,13.9,13.0
42101015101,15.5,46.6,83.9,92.2,0.14807199999999998,29.7,33.8,24.3,13.7
42101015102,9.4,53.9,79.19999999999999,93.4,0.14230500000000004,26.7,29.4,16.4,9.3
42101015200,2.9,61.3,55.0,91.2,0.17630200000000015,23.0,29.3,38.9,5.3
42101015300,20.8,66.0,49.9,35.9,0.5701599999999999,34.7,27.5,8.9,5.5
42101015700,23.3,27.0,67.5,3.6,0.7328879999999999,17.8,46.1,23.9,6.3
42101015800,38.3,21.5,82.60000000000001,1.7,0.12020900000000014,7.9,65.3,9.5,3.8
42101016000,32.8,17.1,86.4,1.9,0.24373299999999992,16.9,67.2,14.7,3.8
42101016100,24.1,36.3,80.7,8.7,0.751227,18.8,50.6,19.3,4.7
42101016200,7.3,50.6,71.3,21.8,0.720234,16.4,40.9,26.9,6.2
42101016300,5.8,66.3,64.9,11.6,0.7209619999999999,12.5,34.4,30.2,6.1
42101016400,0.2,61.3,67.7,56.7,0.668703,20.3,33.8,25.5,8.4
42101016500,5.4,56.6,60.7,74.7,0.4593370000000001,30.1,32.1,22.4,9.2
42101016600,7.7,52.0,78.1,76.4,0.41443300000000016,24.8,29.0,11.4,15.7
