GEO_ID,Poverty,Bachelor,White,White-NH,Black,Black-NH,Asian,Asian-NH,AmericanIndian,AmericanIndian-NH,NHPI,NHPI-NH,Other,Other-NH,Multi,Multi-NH,Pre-1939 Housing,1939-1949 Housing,VacantHousing,OwnerOccupied,FamiliesWithChildren,White-H,Black-H,Asian-H,AmericanIndian-H,NHPI-H,Other-H,Multi-H,SimpsonsDI,OldHousing
42101016800,33.6,7.8,4.1,4.1,93.7,93.1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.8,1.8,58.5,18.3,24.3,50.2,24.6,0.0,0.6000000000000085,0.0,0.0,0.0,0.0,0.0,0.13118200000000013,76.8
42101016901,41.9,2.2,1.7,1.6,96.0,96.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,71.9,16.3,25.9,52.1,22.5,0.09999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.07769800000000003,88.2
42101016902,35.4,6.5,2.7,1.3,97.1,91.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,57.5,19.1,28.9,40.5,29.3,1.4000000000000001,5.5,0.0,0.0,0.0,0.0,0.0,0.15755000000000008,76.6
42101017000,26.5,16.4,18.6,16.8,76.2,75.9,3.3,3.3,0.0,0.0,0.0,0.0,1.1,0.0,0.7,0.4,37.3,22.8,8.5,37.7,16.3,1.8000000000000007,0.29999999999999716,0.0,0.0,0.0,1.1,0.29999999999999993,0.393127,60.099999999999994
42101017100,31.6,5.2,2.2,0.9,94.5,94.5,0.0,0.0,0.7,0.7,0.0,0.0,0.9,0.0,1.6,0.8,56.7,20.0,17.7,73.4,21.8,1.3000000000000003,0.0,0.0,0.0,0.0,0.9,0.8,0.10546700000000005,76.7
42101017201,50.8,3.7,2.1,2.1,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.8,2.3,57.8,31.9,25.5,60.8,27.3,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.09650400000000003,89.69999999999999
42101017202,45.1,4.6,4.7,0.7,93.4,93.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,60.9,19.0,32.5,56.1,23.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478299999999995,79.9
42101017300,48.0,8.7,2.1,0.6,96.7,94.7,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.2,55.0,22.6,17.3,54.3,19.6,1.5,2.0,0.0,0.0,0.0,0.5,0.39999999999999997,0.10348099999999993,77.6
42101017400,50.4,3.3,1.3,0.7,93.3,93.3,0.0,0.0,1.2,0.0,0.0,0.0,4.1,0.0,0.0,0.0,52.5,7.8,20.7,55.9,20.0,0.6000000000000001,0.0,0.0,1.2,0.0,4.1,0.0,0.12660100000000005,60.3
42101017500,58.9,2.5,23.5,0.7,34.5,26.6,0.0,0.0,0.0,0.0,0.0,0.0,39.7,0.0,2.3,2.3,42.0,27.6,13.7,46.9,28.4,22.8,7.899999999999999,0.0,0.0,0.0,39.7,0.0,0.712832,69.6
42101017601,59.6,2.6,30.7,3.6,12.2,4.8,0.0,0.0,0.3,0.0,0.0,0.0,53.9,0.0,3.0,0.0,61.2,10.0,17.8,49.4,32.0,27.099999999999998,7.3999999999999995,0.0,0.3,0.0,53.9,3.0,0.6270529999999999,71.2
42101017602,61.4,3.2,34.8,11.0,14.0,5.0,0.4,0.4,0.2,0.1,0.0,0.0,45.5,0.3,5.1,0.5,54.1,15.3,10.9,42.6,41.5,23.799999999999997,9.0,0.0,0.1,0.0,45.2,4.6,0.7141839999999999,69.4
42101017701,46.1,2.6,26.2,9.6,31.4,28.3,1.4,0.6,0.0,0.0,0.0,0.0,35.6,0.5,5.4,1.4,59.0,9.4,29.0,37.1,32.2,16.6,3.099999999999998,0.7999999999999999,0.0,0.0,35.1,4.0,0.757056,68.4
42101017702,71.0,5.9,29.6,8.3,23.2,16.9,1.1,1.1,0.0,0.0,0.0,0.0,39.1,0.0,7.0,1.8,62.3,7.6,14.7,38.9,43.8,21.3,6.300000000000001,0.0,0.0,0.0,39.1,5.2,0.759182,69.89999999999999
42101017800,58.3,2.6,29.3,17.7,26.1,21.2,6.5,6.5,0.4,0.0,0.0,0.0,33.9,0.4,3.8,1.5,67.6,9.0,18.0,41.3,34.2,11.600000000000001,4.900000000000002,0.0,0.4,0.0,33.5,2.3,0.7906340000000001,76.6
42101017900,38.8,11.1,44.0,37.1,41.1,35.8,0.5,0.5,1.3,0.0,0.3,0.0,8.5,0.0,4.3,3.2,73.8,4.5,9.1,48.7,29.9,6.899999999999999,5.300000000000004,0.0,1.3,0.3,8.5,1.0999999999999996,0.718052,78.3
42101018001,23.9,17.4,93.4,91.0,1.5,1.5,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.6,65.7,7.3,13.2,65.4,30.5,2.4000000000000057,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,0.17019000000000004,73.0
42101018002,20.8,20.3,94.9,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.1,1.0,70.8,10.0,11.1,71.0,20.6,4.0,0.0,0.0,0.0,0.0,1.0,3.0999999999999996,0.17095799999999997,80.8
42101018300,15.7,15.4,99.3,99.1,0.4,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,11.3,6.4,79.7,22.7,0.20000000000000284,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.017896000000000037,69.6
42101018400,13.6,19.7,94.0,90.1,0.1,0.1,1.8,1.8,0.0,0.0,0.0,0.0,0.9,0.0,3.1,3.1,77.6,7.9,4.4,79.8,24.7,3.9000000000000057,0.0,0.0,0.0,0.0,0.9,0.0,0.18431100000000014,85.5
42101018800,61.5,3.6,44.3,23.4,31.5,24.5,1.3,1.3,0.5,0.0,0.0,0.0,16.9,0.0,5.6,3.3,59.5,12.1,17.1,54.4,47.2,20.9,7.0,0.0,0.5,0.0,16.9,2.3,0.807265,71.6
